Department,Entity,Pay Date,Product Family,Expense area,Supplier Name,Transaction Number,Net Amount,,,,,,,,,,,,
DESNZ,UKAEA,08/11/2023,Facilities,Property,Baxter Storey Ltd.,5162735,"1,713.04",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Facilities,Property,Baxter Storey Ltd.,5164004,"7,379.87",,,,,,,,,,,,
DESNZ,UKAEA,08/11/2023,Facilities,Property,Baxter Storey Ltd.,5162725,"8,367.69",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Facilities,Property,Baxter Storey Ltd.,5164004,"26,205.41",,,,,,,,,,,,
DESNZ,UKAEA,08/11/2023,Engineering Goods,Other,BCAS Ltd,5162527,935.58,,,,,,,,,,,,
DESNZ,UKAEA,08/11/2023,Engineering Goods,Other,BCAS Ltd,5162671,"6,089.93",,,,,,,,,,,,
DESNZ,UKAEA,20/11/2023,Professional Services,Support Services,BDO LLP,5163386,"1,450.00",,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Engineering Goods,Fusion,Belmont Fabrications Ltd,5161974,527.00,,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Engineering Goods,Fusion,BKW Instruments Limited,5161649,"2,789.87",,,,,,,,,,,,
DESNZ,UKAEA,08/11/2023,Engineering Goods,Fusion,BOC Ltd,5162643,515.98,,,,,,,,,,,,
DESNZ,UKAEA,15/11/2023,Engineering Goods,Fusion,BOC Ltd,5162990,757.50,,,,,,,,,,,,
DESNZ,UKAEA,06/11/2023,Engineering Goods,Fusion,BOC Ltd,5162221,523.55,,,,,,,,,,,,
DESNZ,UKAEA,06/11/2023,Engineering Goods,Fusion,BOC Ltd,5162478,660.05,,,,,,,,,,,,
DESNZ,UKAEA,06/11/2023,Engineering Goods,Fusion,BOC Ltd,5162063,776.50,,,,,,,,,,,,
DESNZ,UKAEA,22/11/2023,Engineering Goods,Fusion,BOC Ltd,5163602,"61,231.82",,,,,,,,,,,,
DESNZ,UKAEA,06/11/2023,Engineering Goods,Fusion,BOC Ltd,5162101,"138,198.58",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Engineering Goods,Other,BOC Ltd,5164035,587.05,,,,,,,,,,,,
DESNZ,UKAEA,15/11/2023,Engineering Goods,Other,BOC Ltd,5163094,606.00,,,,,,,,,,,,
DESNZ,UKAEA,08/11/2023,Engineering Goods,Other,BOC Ltd,5162629,642.90,,,,,,,,,,,,
DESNZ,UKAEA,06/11/2023,Facilities,Property,Bojen Electrical Ltd,5161881,"10,159.71",,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Professional Services,Support Services,Bottomline Technologies Ltd,5161939,"-1,392.47",,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Professional Services,Support Services,Bottomline Technologies Ltd,5162041,"7,606.52",,,,,,,,,,,,
DESNZ,UKAEA,08/11/2023,Engineering Goods,Fusion,Boxer Machine Tools Services,5162854,"1,707.50",,,,,,,,,,,,
DESNZ,UKAEA,20/11/2023,Engineering Goods,Fusion,Boxer Machine Tools Services,5163564,"1,800.00",,,,,,,,,,,,
DESNZ,UKAEA,13/11/2023,Engineering Goods,Other,Boxer Machine Tools Services,5163101,"1,500.00",,,,,,,,,,,,
DESNZ,UKAEA,13/11/2023,ICT,Support Services,boxxe Limited,5163118,967.13,,,,,,,,,,,,
DESNZ,UKAEA,08/11/2023,ICT,Support Services,boxxe Limited,5162667,"1,920.00",,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,ICT,Support Services,boxxe Limited,5162136,"2,734.52",,,,,,,,,,,,
DESNZ,UKAEA,13/11/2023,ICT,Support Services,boxxe Limited,5162910,"5,280.00",,,,,,,,,,,,
DESNZ,UKAEA,15/11/2023,ICT,Support Services,boxxe Limited,5163233,"5,280.00",,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,ICT,Support Services,boxxe Limited,5161917,"7,125.00",,,,,,,,,,,,
DESNZ,UKAEA,13/11/2023,ICT,Support Services,boxxe Limited,5162938,"40,144.49",,,,,,,,,,,,
DESNZ,UKAEA,13/11/2023,ICT,Other,boxxe Limited,5162939,"8,277.14",,,,,,,,,,,,
DESNZ,UKAEA,13/11/2023,ICT,Fusion,boxxe Limited,5163054,"8,277.14",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Engineering Goods,Fusion,Brackley Rewinds Ltd,5163875,"1,200.00",,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Learning and Development,Fusion,Bridgwater & Taunton College,5162271,"2,454.00",,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Learning and Development,Fusion,British Safety Council,5162272,725.00,,,,,,,,,,,,
DESNZ,UKAEA,22/11/2023,Learning and Development,Fusion,British Society for Strain Measurement,5163704,"2,970.00",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Engineering Goods,Fusion,BSS Oxford,5164096,516.33,,,,,,,,,,,,
DESNZ,UKAEA,22/11/2023,Engineering Goods,Fusion,BSS Oxford,5163812,"1,464.57",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Engineering Goods,Fusion,Budget Forktrucks Ltd,5163940,606.67,,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Engineering Goods,Fusion,Budget Forktrucks Ltd,5163941,606.67,,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Engineering Goods,Fusion,Budget Forktrucks Ltd,5163938,736.67,,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Engineering Goods,Fusion,Budget Forktrucks Ltd,5163942,"1,256.67",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Engineering Goods,Fusion,Budget Forktrucks Ltd,5163943,"1,430.00",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Engineering Goods,Property,Budget Forktrucks Ltd,5163937,615.33,,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Engineering Goods,Property,Budget Forktrucks Ltd,5163939,"1,256.67",,,,,,,,,,,,
DESNZ,UKAEA,13/11/2023,Engineering Goods,Other,Buehler,5162986,855.90,,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Personnel Related,Other,Bupa Occupational Health Ltd,5164216,"5,109.77",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Personnel Related,Other,Bupa Occupational Health Ltd,5164215,"43,763.49",,,,,,,,,,,,
DESNZ,UKAEA,13/11/2023,Professional Services,Support Services,Burges Salmon,5162901,"2,742.00",,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Professional Services,Fusion,Burges Salmon,5162276,"7,801.00",,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Professional Services,Fusion,Burges Salmon,5162277,"51,100.00",,,,,,,,,,,,
DESNZ,UKAEA,08/11/2023,Professional Services,Other,Burges Salmon,5162638,"4,166.00",,,,,,,,,,,,
DESNZ,UKAEA,13/11/2023,Facilities,Property,BWT UK Limited,5162935,"2,390.67",,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Consultancy - Other (per Cabinet Office definition),Fusion,Cabinet Office (Government Business Services),5162083,"4,700.00",,,,,,,,,,,,
